lines,chunks,file_count,r_queue,r_exp,r_exp_product,s_exp,s_exp_product,review_time_minutes,is_bad
27,6,6,1,198,192,3283,3056,1576.083333,1
1,1,1,0,912,620,758,679,15.59999987,0
148,5,5,13,3527,3357,1608,1544,0,1
11,5,3,1,13,7,240,52,14.53333296,0
6,2,1,0,1203,992,525,506,47.55000025,0
53,19,6,17,2014,1902,9426,8720,245.8166664,1
53,3,2,1,130,20,701,63,0,0
29,2,1,5,657,449,3625,3236,10490.6,1
18,3,2,24,3136,7,1991,129,3844.6,0
7,1,1,15,12687,22,116,84,10984.7,1
2,1,1,11,837,777,697,633,10207.53333,0
340,45,5,0,0,0,1993,1286,44.48333345,1
1,1,1,1,130,20,701,63,0,0
6,1,1,11,3533,3361,302,216,48.95000003,0
75,8,2,37,12119,10821,1947,1743,99.56666641,1
26,2,2,68,12062,10764,1944,1740,322.966667,0
101,1,1,11,1942,1831,9221,8517,72021.41667,0
6,1,1,2,199,193,3287,3060,27.4833338,0
290,81,20,0,2004,49,147,13,117.2833335,1
46,13,3,0,2004,49,147,13,117.2833335,0
22,1,1,1,638,73,133,107,3.133333772,1
45,6,4,1,638,73,133,107,3.133333772,1
8,2,1,1,1459,28,664,267,1184.716667,1
289,17,10,0,58,44,305,219,0,1
62,14,3,6,1814,271,2580,913,100.8333329,0
219,8,6,0,0,0,439,368,1.999999881,1
307,4,4,3,220,53,845,811,1621.35,0
95,15,6,1,115,114,219,218,221.1166663,1
64,11,3,1,232,219,1323,1274,31640.03333,1
13,5,1,2,1444,108,918,228,3254.433334,0
357,20,7,1,87,46,851,426,8830.816667,1
2,1,1,0,1206,147,790,1,10.45000032,0
210,6,3,23,1197,1161,4398,4074,676.783333,1
26,2,1,2,520,519,448,442,46.7499999,1
6,1,1,1,1460,1,665,144,128.1333337,1
64,4,4,19,12450,11576,199,195,52.88333349,0
5,1,1,0,515,500,228,215,21282.01667,1
76,4,4,12,1228,1066,2274,432,2.950000092,1
5,1,1,0,80,40,3116,2346,16394.31667,0
19,1,1,3,358,186,1093,265,3301.933333,0
84,15,8,5,1519,1497,333,328,14.23333392,1
2,1,1,6,1815,1323,2581,1487,2.166666314,1
24,3,2,5,993,513,2583,1489,0,0
5,1,1,5,1518,1496,3389,3021,14.96666662,0
4,1,1,0,157,154,612,545,0.950000212,1
44,11,6,34,12125,10827,803,637,36.08333342,1
6,3,1,34,12125,10827,803,637,36.08333342,1
15,4,2,3,362,188,1096,267,5.316666663,1
118,8,5,3,362,188,1096,267,5.316666663,1
26,6,1,3,362,188,1096,267,5.316666663,1
136,9,8,7,4053,1303,611,544,114.85,1
23,1,1,1,183,0,1424,121,3413.15,1
23,1,1,1,633,10,1424,121,5.166666806,1
60,13,3,6,1136,1120,0,0,11206.5,1
1,1,1,6,1136,1120,0,0,11206.5,0
124,10,4,1,913,621,759,680,5.433333367,1
18,5,2,3,395,387,450,444,51.1999999,1
5,1,1,6,1136,1120,0,0,11206.5,1
175,2,2,0,12,9,83,56,0,1
4,1,1,0,554,549,3391,3022,0,1
10,3,2,1,248,152,1061,394,544.133333,0
37,5,2,12,3535,53,306,78,10.21666691,1
82,8,2,17,12720,11820,1013,903,133.5333332,1
503,23,10,63,12049,10751,561,554,4141.466667,1
130,13,6,63,12049,10751,561,554,4141.466667,1
12,2,1,30,12118,10820,571,564,107.2500003,0
179,44,22,1,327,326,574,567,368.4499998,1
1,1,1,0,455,425,1126,1074,0,0
1,1,1,19,12657,11765,3260,3033,388.8,0
81,10,6,12,1231,1069,1041,873,4.583333284,1
12,4,2,5,405,226,259,225,63.03333342,1
4,2,1,1,1185,20,1093,718,8.199999779,1
24,3,2,30,11925,10633,3246,3019,79.03333381,0
35,6,2,28,11929,10636,3250,3023,4.216666594,0
5,1,1,1,199,193,3287,3060,1089.483334,1
158,27,11,12,6421,5743,463,346,9615.666667,0
114,38,11,12,6421,5743,463,346,9615.666667,0
250,15,6,12,6421,5743,463,346,9615.666667,0
14,4,2,12,6421,5743,463,346,9615.666667,0
145,16,4,12,6421,5743,463,346,9615.666667,0
103,11,3,12,6421,5743,463,346,9615.666667,0
71,14,3,12,6421,5743,463,346,9615.666667,0
69,4,3,12,6421,5743,463,346,9615.666667,0
4,2,2,12,6421,5743,463,346,9615.666667,0
194,14,7,12,6421,5743,463,346,9615.666667,0
276,3,3,43,6321,5651,925,892,65311.65,1
58,5,1,43,6321,5651,925,892,65311.65,0
8,2,1,1,15,6,2331,2240,25592.31667,0
29,10,5,1,19,11,211,180,984.0333335,1
29,4,1,4,40,33,203,186,153.0666666,1
8,1,1,3,977,965,1428,1028,692.2499996,0
18,2,2,2,183,182,1427,1027,516.9333331,1
30,3,1,8,978,966,1432,1032,29.83333312,1
74,4,1,1,526,289,1429,1029,852.7500001,0
43,5,4,2,249,1,530,3,940.05,1
2,1,1,0,1193,143,621,3,17510.4,1
2,1,1,1,726,0,621,3,16771.05,1
209,2,1,1,10,1,623,372,23743.9,1
76,6,2,18,846,784,702,634,719.7999997,1
32,6,1,17,12719,23,118,86,194.7666664,0
12,1,1,3,848,777,1570,1525,5555.233334,0
